snid delta delta_err beta0 beta0_err
simSN_139 40.24154141335338 0.6587604376876429 0.48613435304981095 0.006579017349466782
simSN_14 40.388111608431366 0.3537747026348226 0.4950884587954282 0.0038232507450193247
simSN_140 40.58279621723289 0.3518013722674064 0.4946728257824066 0.0046802103827131465
simSN_141 44.22850577752018 1.9103911812885257 0.49136153625912604 0.015320539723904847
simSN_142 40.924763732581326 0.8578454563532351 0.5021282819419455 0.011780425039720132
simSN_143 40.932000657840945 0.43146869389719655 0.49467868918132085 0.0046918820742378586
simSN_144 39.99504314925046 0.4390733752252026 0.49632252176838426 0.0045655568619049364
simSN_145 41.68952672622147 1.6248051774235448 0.49563270855563885 0.0177353203219992
simSN_146 44.52738525046308 2.0502467948532 0.5010561296045877 0.016278912704224564
simSN_147 40.936086083532416 0.6100633655792098 0.5003503493568949 0.00718502790894082
simSN_148 41.186869475074246 0.5788421489735842 0.4864252766834308 0.00775493763809216
simSN_149 40.337141628484844 0.8048332079183234 0.4868390618835568 0.008129793329287986
simSN_15 39.03787600403443 3.388294728540591 0.5046234544133343 0.030681464288210437
simSN_150 40.95095764784624 1.0640045339688498 0.5116791648212532 0.012267762457697392
simSN_151 39.93836425673406 0.6332445623508712 0.5020827276862423 0.00900914057495357
simSN_152 41.596222486631405 1.1707338146556618 0.48740714518063166 0.011781411544221753
simSN_153 41.30054906469898 1.696015776697628 0.49243166347597295 0.015897820967220283
simSN_154 40.62050374724754 0.7638945905863745 0.4963533125720412 0.00915852522426797
simSN_155 41.36344417857735 0.5529087517624423 0.49458433911571975 0.006474922236760344
simSN_156 40.34237354870354 0.3121644820789173 0.5012231252551279 0.004975736674859801
simSN_157 40.34532813196124 0.8195469977089197 0.5011853290964339 0.007002746878530743
simSN_158 39.85812942178093 0.6090038778089091 0.5000828552272715 0.007565770473491588
simSN_159 41.75215485630378 0.7879457447356183 0.4939341768411769 0.007983551110083744
simSN_16 40.466450535429544 0.90007831340955 0.5004814320332953 0.009279816786298916
simSN_160 40.51701071328164 0.23479147048014418 0.4943563720424905 0.002520141447446409
simSN_161 44.377108488470995 1.4143062079483681 0.4954168540809247 0.013248079462246053
simSN_162 40.206530888302694 0.24458085295736937 0.4978471089224703 0.004133904896260982
simSN_163 38.75477328716924 1.5915487619168045 0.4889761530247358 0.01600252294651979
simSN_164 41.03335116793429 0.916798579266783 0.4870077654851584 0.008310993894640857
simSN_165 40.011258236620925 0.2984401720821371 0.49535507456779143 0.00411038085141226
simSN_166 40.30984993641073 0.40342734980501854 0.5054606248354634 0.0041083228116675415
simSN_167 39.85267577252279 0.49243503425705004 0.5038802633234328 0.005778342270020573
